completion,prompt
" Apply: None
to: None
get: None
the: None
judgment: Event
set: None
aside: None
To: None
get: None
a: None
judgment: Event
set: None
aside: None
fill: None
in: None
the: None
application: Form
notice: Form
(: Form
N244: Form
): Form
and: None
send: None
it: None
to: None
the: None
court: Organization
.: None

###","Apply to get the judgment set aside To get a judgment set aside fill in the application notice ( N244 ) and send it to the court .

###

"
" If: None
this: None
includes: None
a: None
dependent: None
child: Person
you: None
’: None
re: None
automatically: None
assessed: None
for: None
Parent: Finance
Learning: Finance
Allowance: Finance
.: None

###","If this includes a dependent child you ’ re automatically assessed for Parent Learning Allowance .

###

"
" DWP: Organization
will: None
write: None
to: None
you: None
and: None
ask: None
you: None
to: None
operate: None
the: None
DEA: Misc
scheme: Misc
if: None
any: None
of: None
your: None
employees: Person
are: None
affected: None
.: None

###","DWP will write to you and ask you to operate the DEA scheme if any of your employees are affected .

###

"
" You: None
must: None
attend: None
a: None
meeting: Event
about: None
mediation: Event
first: None
-: None
except: None
in: None
certain: None
cases: None
(: None
there: None
’: None
s: None
been: None
domestic: Event
abuse: Event
for: None
example: None
): None
.: None

###","You must attend a meeting about mediation first - except in certain cases ( there ’ s been domestic abuse for example ) .

###

"
" Read: None
more: None
about: None
complaining: None
to: None
your: None
council: Organization
about: None
a: None
high: None
hedge: Misc
.: None

###","Read more about complaining to your council about a high hedge .

###

"
" Check: None
if: None
you: None
’: None
re: None
eligible: None
and: None
apply: None
for: None
the: None
EEA: Form
family: Form
permit: Form
.: None

###","Check if you ’ re eligible and apply for the EEA family permit .

###

"
" To: None
use: None
a: None
registered: None
design: None
you: None
must: None
contact: None
the: None
current: None
owner: Person
and: None
either: None
agree: None
a: None
licence: Form
to: None
use: None
the: None
design: None
or: None
buy: None
it: None
from: None
them: None
.: None

###","To use a registered design you must contact the current owner and either agree a licence to use the design or buy it from them .

###

"
" Customs: Organization
will: None
check: None
it: None
and: None
contact: Contact
your: None
retailer: Organization
to: None
arrange: None
the: None
refund: Finance
if: None
everything: None
is: None
in: None
order: None
.: None

###","Customs will check it and contact your retailer to arrange the refund if everything is in order .

###

"
" This: None
is: None
usually: None
the: None
same: None
date: None
they: None
want: None
to: None
start: Event
their: None
leave: None
.: None

###","This is usually the same date they want to start their leave .

###

"
" Employment: Event
then: None
ends: None
at: None
the: None
time: Date
of: None
transfer: Event
.: None

###","Employment then ends at the time of transfer .

###

"
" When: None
calculating: Form
your: None
childcare: Finance
costs: Finance
you: None
can: None
only: None
include: None
costs: Finance
you: None
pay: Finance
yourself: Person
.: None

###","When calculating your childcare costs you can only include costs you pay yourself .

###

"
" It: None
’: None
s: None
unlikely: None
you: None
’: None
ll: None
get: None
to: None
live: None
in: None
London: Location
or: None
south: None
-: None
east: None
England: Location
.: None

###","It ’ s unlikely you ’ ll get to live in London or south - east England .

###

"
" You: None
can: None
usually: None
avoid: None
going: None
to: None
court: Event
hearings: Event
if: None
you: None
agree: None
about: None
children: Person
money: Finance
and: None
property: Misc
and: None
the: None
reasons: None
for: None
ending: None
your: None
marriage: State
.: None

###","You can usually avoid going to court hearings if you agree about children money and property and the reasons for ending your marriage .

###

"
" Reduced: Finance
rate: Finance
APD: Finance
This: None
is: None
normally: None
charged: None
on: None
the: None
lowest: None
class: None
of: None
travel: None
available: None
on: None
the: None
aircraft: None
.: None

###","Reduced rate APD This is normally charged on the lowest class of travel available on the aircraft .

###

"
" They: None
’: None
ll: None
also: None
claim: None
any: None
relief: Finance
you: None
’: None
re: None
eligible: None
for: None
such: None
as: None
if: None
you: None
’: None
re: None
a: None
first: None
-: None
time: None
buyer: Person
.: None

###","They ’ ll also claim any relief you ’ re eligible for such as if you ’ re a first - time buyer .

###

"
" You: None
’: None
ll: None
get: None
a: None
letter: Contact
confirming: Event
your: Event
loan: Event
-: None
usually: None
within: Date
2: Date
weeks: Date
if: None
you: None
apply: Event
online: Event
(: None
postal: Event
applications: Event
take: Date
longer: Date
): None
.: None

###","You ’ ll get a letter confirming your loan - usually within 2 weeks if you apply online ( postal applications take longer ) .

###

"
" The: None
judge: Person
might: None
not: None
award: None
you: None
costs: None
if: None
they: None
think: None
you: None
’: None
ve: None
made: None
no: None
effort: None
to: None
agree: None
out: None
of: None
court: Organization
.: None

###","The judge might not award you costs if they think you ’ ve made no effort to agree out of court .

###

"
" North: Location
Korea: Location
You: None
cannot: None
apply: None
online: None
if: None
you: None
’: None
re: None
applying: None
from: None
North: Location
Korea: Location
.: None

###","North Korea You cannot apply online if you ’ re applying from North Korea .

###

"
" You: None
need: None
to: None
apply: None
online: None
for: None
your: None
child: Person
.: None

###","You need to apply online for your child .

###

"
" Final: None
decision: None
After: None
the: None
appeal: None
meeting: Event
your: None
employer: Person
should: None
write: None
to: None
you: None
with: None
their: None
final: None
decision: None
.: None

###","Final decision After the appeal meeting your employer should write to you with their final decision .

###

"
" You: None
’: None
ll: None
be: None
sent: None
a: None
letter: Contact
explaining: None
what: None
to: None
do: None
next: None
.: None

###","You ’ ll be sent a letter explaining what to do next .

###

"
" Apply: None
for: None
a: None
visa: Event
if: None
you: None
want: None
to: None
come: None
to: None
the: None
UK: Location
for: None
another: None
reason: None
(: None
for: None
example: None
to: None
work: Event
study: Event
or: None
remain: None
with: None
family: Person
): None
.: None

###","Apply for a visa if you want to come to the UK for another reason ( for example to work study or remain with family ) .

###

"
" You: None
’: None
ll: None
normally: None
get: None
warnings: None
and: None
offers: None
of: None
help: None
from: None
the: None
local: None
council: None
first: None
.: None

###","You ’ ll normally get warnings and offers of help from the local council first .

###

"
" Entrepreneurs: Misc
’: Misc
Relief: Misc
means: None
you: None
’: None
ll: None
pay: None
tax: None
at: None
10: None
%: None
on: None
all: None
gains: None
on: None
qualifying: Finance
assets: Finance
.: None

###","Entrepreneurs ’ Relief means you ’ ll pay tax at 10 % on all gains on qualifying assets .

###

"
" You: None
may: None
pay: None
tax: None
if: None
your: None
employer: Person
lends: None
money: None
to: None
one: None
of: None
your: None
relatives: Person
.: None

###","You may pay tax if your employer lends money to one of your relatives .

###

"
" You: None
must: None
choose: None
your: None
learning: Organization
provider: Organization
and: None
childcare: Organization
provider: Organization
before: None
you: None
apply: Form
.: None

###","You must choose your learning provider and childcare provider before you apply .

###

"
